1, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, x, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000, xxxxxxxxxxxxxxx, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, xxxxxxxxxxxxxxxxxxxx, xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000, xxxxxxxxxxxxxxx, x, 0

3, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, x, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000xxxx0000, 000000000000000, 0, 0

5, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 1, 3f8040004040408040a040c040e0410041104120413041404150416041704180, 0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0

7, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 1, 3f8040a041104150000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0

9, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 1, 400040c041204160000000000000000000000000000000000000000000000000, 1, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0

11, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 1, 404040e041304170000000000000000000000000000000000000000000000000, 1, 3f8040004040408040a040c040e0410041104120413041404150416041704180, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0

13, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 1, 4080410041404180000000000000000000000000000000000000000000000000, 1, 3f8040a0411041503f8040a0411041503f8040a0411041503f8040a041104150, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0

15, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 1, 400040c041204160400040c041204160400040c041204160400040c041204160, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx3f8000004120000041d800004250000040a0000041f00000427c000042d00000411000004248000042c60000431c000041500000428c00004307000043500000, 000000011111111, 000000000000000000000000001001001001001001000, xxxxxxxxxxxx00000000, 3f8000004120000041d800004250000040a0000041f00000427c000042d00000411000004248000042c60000431c000041500000428c00004307000043500000, 000000011111111, 1, 1

17, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 1, 404040e041304170404040e041304170404040e041304170404040e041304170, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx400000004140000041f00000426000004120000042100000428c000042e00000419000004270000042dc00004328000041d0000042a800004316000043600000, 000111111111111, 000000000000000000000000001001001001001001000, xxxxxxxxxxxx00000000, 400000004140000041f00000426000004120000042100000428c000042e00000419000004270000042dc00004328000041d0000042a800004316000043600000, 000111111111111, 1, 1

19, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 4080410041404180408041004140418040804100414041804080410041404180, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx404000004160000042040000427000004170000042280000429a000042f0000041d80000428c000042f2000043340000421c000042c400004325000043700000, 011111111111111, 000000000000000000000000001001001001001001000, xxxxxxxxxxxx00001010, 404000004160000042040000427000004170000042280000429a000042f0000041d80000428c000042f2000043340000421c000042c400004325000043700000, 011111111111111, 1, 1

21, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx4080000041800000421000004280000041a000004240000042a80000430000004210000042a0000043040000434000004250000042e000004334000043800000, 111111111111111, 000000000000000000000000001001001001001001000, xxxxxxxxxxxx10001010, 4080000041800000421000004280000041a000004240000042a80000430000004210000042a0000043040000434000004250000042e000004334000043800000, 111111111111111, 1, 1

23, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 111111100000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx10001010, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 111111100000000, 0, 0

25, 0000000010000000, 00000000000000000000000000000000000000000000000000000000000000004481000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 111000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx10001010, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 111000000000000, 0, 0

27, 0000000010000000, 00000000000000000000000000000000000000000000000000000000000000004492000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 100000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx10000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 100000000000000, 0, 0

29, 0000000010000000, 000000000000000000000000000000000000000000000000000000000000000044a3000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0

31, 0000000010000000, 000000000000000000000000000000000000000000000000000000000000000044b4000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0

33, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0

35, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0

37, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0

39, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0

41, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0

43, 0000000000000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, 0, 0000000000000000000000000000000000000000000000000000000000000000, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 000000000000000000000000000000000000000000000, xxxxxxxxxxxx00000000, 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 000000000000000, 0, 0
